,id_hash,gender,age,location,status,date_search,date_of_loss,last_search_date,search_period,head,content,gender_new
0,,,[44],Волжское Краснодарский край ,жив(а),,,,,"Жив Александр Адамович Сапрыгинович 44 года, г. Волжское, Краснодарский край","Александр Адамович Сапрыгинович 44 года, г. Волжское, Краснодарский край  

13 октября 2023 года ушёл из дома и не вернулся



Приметы:
Рост: 165 см.
Телосложение: xудощавое
Цвет глаз: серые
Волосы: седые, короткая стрижка

Был одет: темно-синяя куртка с капюшоном полосками, черные брюки, черные резиновые сапоги.

С собой: светло-зеленая сумка с касным рукавом, спортивные брюки.

Ориентировка на печать

Ориентировка на репост



Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт».
Если же представитель СМИ хочет приехать на поиск, он может сообщить о своем желании на горячую линию отряда
8(800)700-54-52 или на почту smi",муж
1,,,"[76, 87]",Пухово Краснодарский район ,жив(а),,,,,"Жив Александр Георгиевич Хадыевич 76 лет (1938 г.р.), с. Пухово, Краснодарский район","Александр Георгиевич 76 лет (1938 г.р.), с. Пухово, Краснодарский район 

25 июля 2021 года около 12:00 ушёл из дома и не вернулся



Приметы:
Рост: 182 см.
Телосложение: xудощавое
Цвет глаз: карие
Волосы: чёрные, до плеч

Был одет: неизвестно.

МОЖЕТ НАХОДИТЬСЯ В ВАШЕМ РАЙОНЕ


Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». 
Запрос на согласование фото- и видеосъемки на поисках можно оставить на горячей линии отряда 8(800)7005452

--------------------------------------------------

Инфорг: Данила  89130985723 

Написать инфоргу в телеграмм
8(800)7005452

 ​

По поиску есть автономные задачи, звонить инфоргу поиска, обращаться в телеграмм. С собой: пакет систи. Скотч, перед",муж
2,,,[48],Волжский Алтайский край ,жив(а),,,,,"Жив Александр Кириллович Авдиенкович, 48 лет, г. Волжский, Алтайский край","Александр Кириллович Авдиенкович, 48 лет, г. Волжский, Алтайский край 

4 декабря 2022 года ушёл из дома и не вернулся

 

Приметы:
Рост: 163 см.
Телосложение: xудощавое.
Волосы: бордовые.
Цвет глаз: карие.

Был одет: голубая куртка, серые тапки.

Ориентировка на печать

Ориентировка на репост
[+] Для СМИПредоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт».
Все фото- и видеосъемки на поисках проводятся по согласованию с пресс-службой: smi@lizaalert.org

--------------------------------------------------

Инфорги: Каристин Олегом 89127459028
Написать инфоргу в телеграм
__ОЗМАЙ ПОСЕГИИНТИРОВКА

Комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также �",муж
3,,,[63],Астрахань ,жив(а),,,,,"Жив Александр Юриевич Агейчикович 63 года, г. Астрахань","Александр Юриевич Агейчикович 63 года, г. Астрахань 

21 июня 2020 года ушёл из дома и не вернулся



Приметы:
Рост: 168 см.
Телосложение: xудощавое
Цвет глаз: карие
Волосы: русые

Был одет: черная куртка, черная футболка, черные сланцы, бежевые зимние тапочки.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Сара (Катя) - 89824386723
--------------------------------------------------
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт».
Если же представитель СМИ хочет приехать на поиск, он может сообщить о своем желании на горячую линию отряда8(800)700-54-52 или на почту smi@lizaalert.org.

---------------------------------------------------
Координатор: Духов
СНМ: Яна Яка (Ята)
ВНИМАНИЕ! Всем выезжающим иметь СИЗ!С призн",муж
4,,,[60],Китанцовская обл Ульмово ,жив(а),,,,,"Жив Александр Яковлевич Гомольский Иванович, 60 лет, СНТ Китанцовская обл., д. Ульмово, Новосибузский р-н","Александр Яковлевич Гомольский Иванович, 60 лет, СНТ Китанцовская обл., д. Ульмово, Новосибузский р-н 

9 июня 2022 года ушёл в лес и не вернулся.



Приметы:
Рост: 155 см.
Телосложение: нормальное.
Цвет глаз: карие.
Волосы: чёрные, с проседью.

Был одет: розовая кофта, черные штаны, сапоги, болоньевые шлёпанцы.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Инфорг: Юлия (Яна) 89202010947, СоловьИнфорги (Наталья) 89132183681 

--------------------------------------------------

Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт».
Если же представитель СМИ хочет приехать на поиск, он может сообщить о своем желании на горячую линию отр",муж
5,,,[73],Саратов ,жив(а),,,,,"Жив Алексей Алексиевич Данаурович, 73 года, Саратов","Алексей Алексиевич Данаурович, 73 года, Саратов 

 С 30 октября  2024 года его местонахождение неизвестно.



Приметы:
Рост: 170 см
Телосложение: xудощавое
Цвет глаз: серо-голубые
Волосы: каштановые

Был одет: темно-синяя куртка, серые брюки, серые кроссовки.

С собой: неизвестно

Ориентировка на печать
Ориентировка на репост

--------------------------------------------------

Ночки ожидается
Инфорг: Светлана Дмения 8952845330, Ольга Санте Рамател  89537231828 Николаева ОВД 8909139750 Нета ОРПАЙА. П ГООРНЕ ПОРИТ ПОЛЕНТИ!
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт». Если же представитель СМИ хочет приехать на поиск, он может сообщить о своем желании на горячую линию отряда 8(800)700-54-52 �",муж
6,,,[35],Самяха Золсенский р-н Нижегородская обл ,жив(а),,,,,"Жив Алексей Василиевич Дязбаевич 35 лет, д. Самяха, Золсенский р-н, Нижегородская обл.","Алексей Василиевич Дязбаевич 35 лет, д. Самяха, Золсенский р-н, Нижегородская обл. 

2 декабря 2024 года ушёл в неизвестном направлении

Приметы:
Рост: 185 см.
Телосложение: нормальное.
Цвет глаз: серые.
Волосы: светло-русые.

Был одет: черная куртка, синие спортивные штаны, черные резиновые сапоги.

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------
[+] Для СМИПредоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт».
Если же представитель СМИ хочет приехать на поиск, он может сообщить о своем желании на горячую линию отряда
8(800)700-54-52 или на почту smi@lizaalert.org.

--------------------------------------------------

Инфорг: Stinas 89051345860, Белгород(Ксения) 89627938640",муж
7,,,"[73, 76]",Новоанградск ,жив(а),,,,,"Жив Алексей Викторович Газалиевич, 73 года (1949 г.р.), г. Новоанградск","Алексей Викторович Газалиевич, 73 года (1949 г.р.), г. Новоанградск 

29 августа 2021 года видели в последний раз, с тех пор местонахождение неизвестно. 



Приметы:
Рост: 170 см.
Телосложение: xудощавое
Цвет глаз: серо-зелёные
Волосы: тёмные с проседью

Был одет: светлый спортивный костюм, чёрные сапоги. 

С собой: светлая вездненка.

Таблица прозвона больниц и ОВД

Ориентировка на печать

Ориентировка на репост

--------------------------------------------------

Найден, жив! Спасибо задачи, звонить поиску инфоргу. 

Инфорг: Мулена  89271221832 (Наталья)  (Наталья) 
Елизавета инфоргу в Телеграм

8(800)7005452.

[+] СМИПредоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». 
Запрос на согла",муж
8,,,[35],Саранск Городская обл ,жив(а),,,,,"Жив Алексей Юрьевич Бутович 35 лет, г. Саранск, Городская обл.","Алексей Юрьевич Бутович 35 лет, г. Саранск, Городская обл. 

16 октября 2024 года ушёл в неизвестном направлении.





Приметы:
Рост: 164 см.
Телосложение: нормальное
Цвет глаз: голубые
Волосы: седые, короткая стрижка

Был одет: зеленая кофта с белыми джимпийсками, черные спортивные брюки, ботинки белые сапоги, синие кроссовки.

Таблица прозвона больниц и ОВД

Ориентировка на печать

Ориентировка на репост

Найден, жив. Погизнования распространениение в темно-с. Всемёна
[+] Для СМИ
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также представители пресс-службы «ЛизаАлерт».
Если же представитель СМИ хочет приехать на поиск, он может сообщить о своем желании н",муж
9,,,[31],Барнаул Саратовская обл ,жив(а),,,,,"Жив Альберт Василиевич Маккавеевич, 31 год, г. Барнаул, Саратовская обл.","Альберт Василиевич, 31 год, г. Барнаул, Саратовская обл. 

17 сентября 2024 года ушёл из дома и не вернулся

Приметы:
Рост: 173 см.
Телосложение: xудощавое
Цвет глаз: зелёные
Волосы: чёрные

Был одет: зелёная рубашка в клетку, светлые джинсы, синяя кепка.

С собой: Церневый рюкзак, серые спортивные штаны, чёрные галоши. 

 Найдена! Жив! Всем, кто папоиск!

--------------------------------------------------
Предоставлять комментарии по поиску для СМИ могут только координатор или инфорг поиска, а также пресс-служба «ЛизаАлерт». Все фото- и видеосъемки на поисках проводятся по согласованию с пресс-службой: smi@lizaalert.org
 Ориентировка на печать 
Ориентировка на репост 

--------------------------------------------------
Альберт Василиевич, 31 год, г. Барнаул 

СБОР: 17 сентября 2024 года в 01:00 24.11.24
При учас",муж
